"Ticker";"Nome";"Setor";"Adm";"Cotacao";"MM200Delta";"Vol";"DY12m";"P_VP";"VALOR_EM_CAIXA";"PB_Anos"
"CPFF11";"Capitânia REIT FOF";"Fundo De Fundos";"BTG PACTUAL";81,4;106,437632318639;0,05989962245;7,01;0,95;1,06;14,3
"VVPR11";"V2 Properties";"Lajes Corporativas";"BTG PACTUAL";100,49;102,357856426632;0,0022119265;7,13;1;18,95;14
"SARE11";"Santander Renda de Aluguéis";"Misto";"SANTANDER SECURITIES";97,4;104,710053926825;0,02815360055;3,75;0,97;1,86;26,7
"BREV11";"Brazil Real Estate Victory Fund I";"Lajes Corporativas";"BR-CAPITAL DTVM";101,71;NA;0,00142676177419355;4,25;0,96;2,67;23,5
"TRXF11";"TRX Real Estate";"Imoveis Comerciais   Outros";"BRL TRUST";107,13;107,817802619556;0,1256347821;7,12;1,01;4,59;14
"VCJR11";"Vectis Juros Real";"Fundo De Fundos";"INTRAG DTVM";103,99;106,164650750488;0,01432498545;7,41;1,05;52,86;13,5
"RVBI11";"VBI REITS FOF";"Fundo De Fundos";"BRL TRUST";94,5;109,972351233599;0,042501549;6,8;0,98;12,32;14,7
"XPSF11";"XP Selection";"Fundo De Fundos";"XP INVESTIMENTOS";95,46;104,773837439843;0,12129204765;8,98;0,96;2,32;11,1
"HOSI11";"Housi";"Imoveis Residenciais";"VORTX DISTRIBUIDORA";83;104,503237954077;0,0043963334;4;0,89;12,57;25
"RFOF11";"RB Capital I Fundo de Fundos";"Fundo De Fundos";"BRL TRUST";87;108,245874804611;0,0193111445;6,13;0,92;1,56;16,3
"RBIR11";"RB Capital Desenvolvimento Residencial IV";"Fundo De Desenvolvimento";"OLIVEIRA TRUST";79,43;NA;0,000947685277777778;0;0,82;66,76;Inf
"HUSI11";"HUSI";"Hospitalar";"PLANNER TRUSTEE";1025;NA;0,000991875;0;1,08;37,43;Inf
"VGIP11";"Valora CRI Índice de Preço";"Papeis";"BTG PACTUAL";112,7;116,586038781955;0,09579554955;9,63;1,19;4,38;10,4
